item_id1,item_id2,result
57000180-01,47037835-OR,1
57010006-CU,53070602-TO,0
57010042-05,47037836-OR,1
53050903-41,57025986-99,0
57010037-99,57050006-99,1
53000673-OR,53080828-OR,0
47017722-CU,47005949-99,1
53030691-OR,57047762-76,0
57040046-PL,57050249-99,1
51063744-99,57083795-99,0
57020012-01,47002507-30,1
57043823-05,57047881-OR,0
47067136-08,47086303-08,1
47005921-99,57077736-43,0
47025953-32,57040071-08,1
43005802-OR,53090872-20,0
47024024-OR,47016322-99,1
57075801-01,57022512-99,0
47037834-OR,37010681-99,1
57075982-99,53050576-01,0
57020012-01,47044025-OR,1
53050831-OR,57002513-99,0
57040070-OR,57050251-88,1
53050576-01,57027764-79,0
57000261-99,57030260-99,1
67050277-99,53005022-TN,0
57020260-99,57030252-99,1
53030636-07,57066000-09,0
57040252-99,57050252-99,1
57075782-77,57055147-99,0
57020253-99,57010254-99,1
57050414-OR,57026022-PL,0
47037825-CU,57051087-TM,1
53031097-OR,57006707-99,0
57010034-08,57050437-OR,1
67050069-PL,53080809-OR,0
57050253-05,57020151-07,1
53023762-99,53020588-99,0
57072889-PL,47005935-99,1
53005032-TU,57040459-99,0
57092893-PL,57043798-99,1
53090511-CU,57042524-PL,0
47054026-OR,57050111-PL,1
57072001-35,57064028-09,0
47094424-99,47054426-99,1
57050118-OR,57000438-OR,0
57010006-CU,57000377-OR,1
57084028-OR,53073748-09,0
47017722-CU,57081168-OR,1
53080809-OR,43097754-99,0
57012512-08,47015857-OR,1
53065769-99,53085030-TM,0
47066314-OR,57050256-99,1
53193794-OR,57002513-99,0
57000157-99,57050258-99,1
53090872-20,53060830-OR,0
57030257-99,57000259-99,1
53090529-99,57050086-99,0
57050257-99,57040258-99,1
57010046-99,57023775-06,0
57040158-99,57020258-99,1
57015550-50,53030570-02,0
57040257-99,57030258-99,1
53031097-OR,57010282-01,0
57000157-99,57050258-99,1
53050829-OR,57056013-92,0
57030257-99,57000259-99,1
53030715-OR,57039041-11,0
57050257-99,57040258-99,1
53080809-OR,47085837-05,0
57040158-99,57020258-99,1
53021098-OR,53083725-01,0
57040257-99,57030258-99,1
53045718-99,57082889-PL,0
57050294-PL,57084388-99,1
57094381-85,53060830-OR,0
57004783-99,57003822-34,1
57020047-99,53021099-OR,0
57050294-PL,57056013-92,1
53091158-OR,57096020-99,0
57042511-99,57055958-DI,1
53085754-99,57004430-99,0
57050230-91,57050259-56,1
57040460-OR,37010684-99,0
57010037-99,57040274-OR,1
53103796-OR,53090667-28,0
37010684-99,57040156-99,1
57050094-80,47040358-OR,0
47076304-01,47050101-99,1
43015794-OR,53030691-OR,0
57040292-TC,57050262-01,1
57051087-TM,57057700-99,0
47094760-OR,47039047-02,1
53060568-99,53033776-OR,0
47015923-99,47091297-99,1
53000995-99,53081046-02,0
57010275-OR,47026321-07,1
53053740-99,57004781-99,0
57050185-TC,47025146-PL,1
57036005-PL,53075779-99,0
57050265-05,57000276-OR,1
57002513-99,57063811-99,0
57042003-TC,47035916-08,1
57085791-09,57009208-99,0
57050265-99,57040274-PL,1
67040070-OR,47024024-OR,0
57010612-99,57040319-61,1
47067136-08,57055950-37,0
57040031-12,47037834-OR,1
53010844-99,53073754-OR,0
57093253-01,57010456-40,1
47045949-99,57035810-02,0
57050266-05,47095840-02,1
53020589-28,53015772-30,0
47005949-99,47045965-DO,1
53090667-28,57096026-99,0
47061508-01,57010200-43,1
51083028-08,57092510-99,0
57050267-43,47005949-05,1
57050230-99,57050294-OR,0
47086303-08,57040057-PL,1
57062526-05,57044020-56,0
47037654-99,57040274-OR,1
57050230-99,57053809-99,0
57040079-08,57062514-05,1
57004770-70,57050491-PL,0
37010681-99,57050268-99,1
57010628-43,57055797-94,0
47005921-99,57040031-12,1
57075804-91,57037879-OR,0
57093253-01,57000438-OR,1
57040312-99,57010036-PL,0
47084002-01,57040461-21,1
53080809-OR,57002532-PL,0
57050269-88,47009012-20,1
57040495-80,51053024-05,0
47005851-OR,57050271-OR,1
57015974-99,57067120-20,0
47037825-99,47005920-99,1
53080809-OR,57050184-99,0
47038631-99,47084002-01,1
53020942-99,53093047-CG,0
47012524-OR,47047141-02,1
57013819-52,53050630-09,0
47027836-OR,47015920-32,1
57000169-99,53015772-30,0
57020038-01,57040272-17,1
57091178-08,53015025-02,0
47003773-01,47012502-99,1
57014036-PL,47037825-99,0
57012511-99,47095850-OR,1
57064001-37,53070671-TM,0
57040272-99,57050272-99,1
57027749-PL,53050829-OR,0
47074001-05,37095905-56,1
47085859-99,47005921-CU,0
57010037-99,57050271-OR,1
57029101-04,43031107-01,0
47001195-99,57050273-43,1
53003761-OR,57020044-01,0
47037825-CU,57010046-99,1
57046024-08,57010275-OR,0
47016322-99,57092881-01,1
53080809-OR,53070830-OR,0
57010081-52,57050273-52,1
57012509-99,57085953-35,0
47087124-DC,57020012-01,1
57093253-01,57057747-PL,0
47037829-05,47067661-08,1
57055921-02,57076307-99,0
47073771-TM,57020012-01,1
57051087-TM,57020766-99,0
47004377-01,47036304-08,1
57002513-99,57080977-52,0
47027131-01,57050275-01,1
57010101-01,53051101-43,0
57010042-05,57030033-99,1
53040578-01,53063699-08,0
47077106-06,47050101-99,1
53050632-08,57014432-01,0
57050275-99,47027108-06,1
53030691-OR,57085795-92,0
57020012-01,57050006-99,1
53045763-99,57046024-99,0
57040274-OR,57050078-99,1
57055800-07,57095920-OR,0
47005947-99,47097833-OR,1
57050491-PL,53053742-20,0
47037834-OR,47001195-99,1
57027691-TO,53090733-99,0
47075849-32,47087124-DC,1
53053730-99,51073785-09,0
47027836-OR,47046312-05,1
57050185-TC,51000640-12,0
37000577-30,57010275-OR,1
53117744-99,57067724-05,0
47099203-05,47015918-09,1
57087888-99,53071096-OR,0
47005922-CU,57010006-CU,1
57010037-05,57050466-07,0
47005854-79,57050278-01,1
53043776-92,53021059-08,0
47004026-PL,47032882-PL,1
57040028-05,57014045-PL,0
47044016-01,47005933-TC,1
57066716-94,53020816-02,0
47017722-CU,47045851-OR,1
57040037-99,57057760-92,0
47037826-99,47068254-02,1
53073774-95,57050554-30,0
57050282-05,47036312-05,1
53077019-05,57054415-05,0
47005922-CU,47046706-99,1
57010043-57,43030693-OR,0
57010284-02,57050283-02,1
53080805-92,57050554-30,0
57050102-99,47017722-CU,1
53030691-OR,57026303-43,0
47061508-99,57050049-OR,1
53050681-OR,57036004-OR,0
57050284-43,57000262-43,1
53000591-TN,57067735-CG,0
47005921-99,47005949-99,1
57050271-OR,53033767-90,0
47037834-OR,47004002-30,1
57022511-PL,47047131-05,0
57002513-99,57030776-99,1
51063763-99,57047120-05,0
57094024-99,57031175-TN,1
51065775-09,43013751-08,0
57056012-99,57050294-OR,1
53103805-OR,57010007-99,0
57096026-99,57021179-01,1
53060830-OR,53080604-99,0
57074417-99,57066031-92,1
53050682-70,57010765-08,0
57004781-99,57050291-TN,1
53020884-01,57010035-CU,0
57086003-PL,67040262-01,1
53003752-99,53053763-30,0
57014778-01,57017726-91,1
53023028-99,57075781-99,0
57037755-01,57050292-01,1
57004005-99,53020589-99,0
57020047-99,57040279-07,1
57083796-56,57010037-99,0
57050294-OR,57052525-PL,1
57014404-06,53020608-07,0
57010101-01,57050265-05,1
53005032-TU,53010934-02,0
57040080-08,57000377-OR,1
57096007-99,51023026-17,0
57074417-99,57066031-92,1
47075947-07,53075713-94,0
57004781-99,57015799-94,1
57072508-31,53070530-07,0
57020012-01,57050451-OR,1
57054434-43,53093039-05,0
47036304-08,47035852-OR,1
57040274-PL,53073709-99,0
47097817-99,57081168-OR,1
57012518-99,53080805-92,0
57012512-08,57030033-99,1
57000276-OR,51067657-99,0
57040031-12,57000438-OR,1
51043727-30,57072504-OR,0
57040299-43,57050299-43,1
57006707-99,53080805-92,0
57010042-05,57012512-08,1
53023736-05,53020885-05,0
47085855-99,57010612-99,1
57050491-PL,57065784-02,0
57050300-99,57050308-OR,1
57085801-99,57020363-OR,0
57020012-01,57050451-OR,1
47077845-99,43005031-PL,0
47045851-OR,47005920-99,1
57064001-TM,57070746-43,0
47005921-99,57020012-87,1
57014425-PL,53050624-01,0
57050451-OR,47045851-OR,1
53075713-94,47046706-CU,0
57040274-OR,57040278-99,1
57025909-32,57063811-99,0
57020039-TC,57032880-05,1
57056012-99,53071096-OR,0
47075849-32,57010037-99,1
57002513-99,57004005-99,0
47097817-99,57050303-01,1
53053793-OR,47018645-05,0
57061167-01,47087123-05,1
57044014-05,57065944-99,0
47024004-99,57020047-99,1
53030691-OR,43025786-OR,0
47037825-99,57010603-99,1
57050311-07,51020639-99,0
57030033-99,57040029-05,1
57084388-99,57050294-OR,0
57020259-99,57050303-09,1
57040598-99,53063790-99,0
57040312-99,47015882-TM,1
53055738-99,53173045-99,0
57010041-99,57050086-99,1
53103803-OR,57043797-99,0
57040274-PL,57000345-01,1
53080828-OR,57067747-PL,0
57000404-15,57010612-99,1
57005553-43,57050260-02,0
47017722-CU,47046706-CU,1
57051178-OR,57071168-OR,0
47002507-30,57050305-28,1
57022511-PL,57097754-85,0
47017722-CU,47046706-CU,1
57051087-TM,57065149-99,0
47037826-99,57050306-02,1
53003742-TO,57075781-99,0
47004002-30,47035869-OR,1
53080809-OR,57007744-66,0
47017722-CU,47046706-CU,1
51053704-92,57056021-01,0
47037841-52,57050006-68,1
57044409-TO,53030691-OR,0
47064425-99,57040278-99,1
53090529-99,43050805-OR,0
57020039-TC,47018645-05,1
53081158-OR,57096712-43,0
57010037-99,57050321-99,1
57085801-99,57021028-PL,0
47024032-CU,57040598-99,1
57010275-OR,57057735-92,0
57071168-OR,57050309-OR,1
57089084-99,53075713-99,0
47075849-32,47025953-32,1
57096007-99,53055750-92,0
47077105-01,57050310-08,1
53000759-99,53080809-OR,0
57050006-99,47057120-TM,1
57002513-99,51085027-99,0
47086319-CU,57050310-99,1
57084426-12,51083712-06,0
57050311-05,57040300-OR,1
53013764-99,53093039-05,0
57042511-99,57083261-99,1
53033766-OR,57040376-OR,0
57050311-07,57094419-32,1
53050681-OR,53070631-08,0
57014432-01,57092881-01,1
57095931-85,57001503-80,0
57050294-PL,47034043-TM,1
57084388-99,43080721-OR,0
57092893-PL,57013801-50,1
57050184-01,53000934-TC,0
57015802-99,57046012-92,1
53043747-99,47012502-99,0
57065799-94,57050311-94,1
57005801-70,57024403-37,0
57002512-99,57072001-01,1
53050831-OR,53070976-OR,0
57042510-99,57072001-92,1
53060547-99,57086028-43,0
57073799-99,57007744-99,1
57092888-99,53040541-TN,0
67090431-PL,57066307-99,1
57040161-TC,57020012-01,0
47037829-05,57050006-99,1
57085134-99,53015021-01,0
57050184-01,57010042-05,1
51080660-02,53030636-07,0
57030033-08,57050312-05,1
53080809-OR,51090674-37,0
47037829-05,57050006-99,1
53041096-OR,57014038-OR,0
57050184-01,57010042-05,1
53031097-OR,43015793-OR,0
57030033-08,57050312-05,1
53095771-TG,53043037-OR,0
57010006-99,47004002-30,1
57073806-05,57064406-43,0
47067661-08,47036316-PL,1
43033733-79,57014403-01,0
57050321-99,47005921-99,1
57084430-11,53053793-OR,0
47035849-01,47004002-30,1
57056715-37,57004052-OR,0
57010257-01,47035841-01,1
57076024-99,53117744-99,0
57040028-05,57050322-68,1
53050545-05,57067700-74,0
57040365-99,57013801-99,1
57005509-99,53021099-OR,0
57056013-92,57004788-99,1
53073754-OR,47067662-08,0
57023725-09,47074023-01,1
57002513-99,53065762-05,0
47013269-TO,57050265-99,1
57004429-99,53023750-99,0
57050554-30,57050336-OR,1
57006709-06,57023805-05,0
47024004-99,57010037-99,1
57040156-99,57004431-99,0
57040074-88,57050336-PL,1
57086011-99,57009216-99,0
57056013-92,57056012-99,1
57095786-96,57055810-05,0
57066023-01,57021179-TM,1
57084411-05,53020588-99,0
57010275-OR,57010282-01,1
57075783-30,47087136-52,0
57062508-08,57004787-07,1
57024380-OR,57002514-99,0
57050344-TC,57050477-TM,1
57025806-30,57050265-05,0
57050382-46,57040385-46,1
57064410-09,53090517-08,0
57030449-52,57040357-43,1
47016322-99,57065794-99,0
57030384-20,57030449-08,1
53020608-07,57020038-01,0
57000351-08,57050384-20,1
57050294-PL,53020585-02,0
57050248-08,57030411-OR,1
57088272-99,57023725-09,0
57000263-01,57050414-OR,1
57046024-99,53080809-OR,0
57000333-99,57030450-08,1
57000439-43,57032880-05,0
47067108-99,57050437-OR,1
43013764-01,57000365-85,0
57040108-99,47017123-99,1
53050682-70,57086003-PL,0
57020047-99,57040279-07,1
57063262-99,43097754-99,0
57040251-02,57080490-08,1
57010612-40,53093765-99,0
57050451-OR,57050120-84,1
53063757-50,53030594-08,0
57040253-85,57050472-BL,1
57010274-OR,57064379-30,0
57020251-88,47075969-01,1
53070721-05,53030715-OR,0
57050111-PL,57080977-52,1
53043746-32,57010601-99,0
57030982-PL,57081171-02,1
57000263-01,47003774-TN,0
47087884-05,47067662-08,1
53003778-OR,57057746-92,0
57010037-05,47055942-OR,1
57071168-OR,57019107-99,0
57020012-01,57040031-12,1
57065809-94,53005787-30,0
57062881-01,57092893-PL,1
53063712-07,57055921-02,0
57010088-30,57082895-02,1
57040600-32,53040578-01,0
57040306-01,57040250-20,1
57056013-92,57094431-DI,0
47005943-01,57000033-01,1
57084411-92,53093765-99,0
57040077-02,47094760-PL,1
53041102-15,53091158-OR,0
47024024-PL,57050457-21,1
57040704-52,47015845-99,0
47005943-01,57000033-01,1
53063785-15,57039110-99,0
57040077-02,47094760-PL,1
57050294-PL,57050230-01,0
47024024-PL,57050457-21,1
57050230-91,57026009-30,0
57020047-99,57040274-OR,1
57040161-TC,57050437-PL,0
57050032-99,47055145-99,1
57012002-30,57063809-99,0
47055956-OR,57050459-99,1
53025778-99,51070902-99,0
57041000-PL,57050111-PL,1
57056004-OR,51000637-99,0
57030982-PL,57081171-02,1
57020039-TC,53030636-07,0
47075849-32,47015920-32,1
57049089-56,53030691-OR,0
47037825-CU,47094023-OR,1
57030776-99,53080545-07,0
57020012-01,47075849-02,1
67000502-99,57020047-99,0
47015919-01,47002528-OR,1
53010582-TM,53090827-OR,0
57010037-05,57081168-PL,1
53093047-99,53031097-OR,0
57050006-99,57010037-05,1
57067747-PL,57010046-99,0
57002535-OR,57031178-99,1
57014404-06,67050292-PL,0
57004783-99,57096026-99,1
57044409-TO,57095923-CU,0
57005805-99,57050465-95,1
57080490-20,57030411-OR,0
57050336-OR,57050466-07,1
53103803-OR,53090662-32,0
57062508-08,57005813-09,1
53003752-99,57056013-92,0
47027838-OR,57010031-88,1
57002518-99,43035019-08,0
47037836-OR,47057878-75,1
57050294-OR,43069071-02,0
57010037-99,57050006-99,1
57069088-99,57010424-02,0
47015923-02,57020115-PL,1
53080809-OR,57005933-OR,0
57041000-PL,57050111-PL,1
57049207-CO,53015777-99,0
57030494-52,57050468-52,1
57056013-92,53030691-OR,0
47037834-OR,57012512-08,1
57012895-99,53050624-01,0
57010612-99,57040251-02,1
53065733-02,53077019-50,0
47035869-OR,57050470-01,1
57024405-TN,57015131-99,0
47005921-99,57050451-OR,1
53045036-02,43027739-01,0
57040326-88,57093253-01,1
47015850-OR,57000438-OR,0
57010037-99,47017722-CU,1
53093739-99,57076026-05,0
57040254-05,57050471-05,1
57065970-99,57019604-56,0
57020012-01,57050184-01,1
67000260-99,57005802-09,0
47045852-01,57030034-20,1
57094431-DI,53060511-08,0
47077105-01,57050453-15,1
53060507-06,57056013-92,0
57040376-OR,57000180-84,1
57084388-99,43050937-OR,0
57096026-99,57050472-BL,1
41039067-05,57087691-TO,0
57056013-92,57004789-99,1
53065781-08,53060847-OR,0
57066004-99,57025801-95,1
47050033-99,57065149-99,0
57050111-PL,57050491-PL,1
53030799-87,53045741-85,0
57080977-52,57030982-PL,1
53033776-OR,57035792-99,0
57040376-OR,57050181-68,1
41085028-20,57094033-PL,0
57096026-99,57024764-05,1
53080528-28,57040274-PL,0
57002513-99,57050476-TM,1
53093777-17,53080809-OR,0
57005802-95,57062510-99,1
51013728-30,57050294-PL,0
57056013-92,57014427-56,1
53050576-01,57036017-99,0
57065799-94,57045800-94,1
53193794-OR,53017024-TN,0
57020012-87,57050162-01,1
57002513-99,57007691-52,0
57010257-01,57050479-15,1
57050179-99,57004440-14,0
57040454-81,47057839-01,1
57065809-94,47087881-50,0
57020012-87,57000438-OR,1
57005978-TM,53075776-CG,0
47035852-OR,57050479-20,1
57040377-70,57065904-99,0
57000180-01,57081168-OR,1
57000244-01,57040262-01,0
57012512-08,47075951-OR,1
57072509-99,47001196-99,0
47094023-PL,57000342-TC,1
57000156-02,57095134-30,0
57010037-05,47078255-01,1
57002534-OR,57085789-77,0
47075849-02,47004026-PL,1
43047046-05,43027739-99,0
57020038-01,47007882-32,1
57083795-99,53073754-OR,0
37000577-30,57050451-OR,1
53097020-81,53030691-OR,0
47097833-OR,47014766-32,1
57093809-99,53033776-OR,0
57050482-20,47095844-02,1
67050070-OR,53043746-32,0
47037829-05,47083267-TM,1
53093047-99,57081168-OR,0
47016322-99,47046312-05,1
57041180-01,53041102-15,0
47005943-01,47054026-OR,1
53050829-OR,57050294-OR,0
47015923-02,57040071-08,1
67050095-OR,51085026-05,0
57050102-99,47097817-99,1
57002513-99,67050049-PL,0
47075944-99,57050483-99,1
53015772-99,57075781-99,0
57020047-99,57020046-99,1
57020041-99,57032893-TN,0
57081168-OR,57010046-99,1
53091158-OR,57014779-70,0
57010612-99,57050484-02,1
57022511-PL,57065950-30,0
47045851-OR,57040275-OR,1
53050803-OR,53080809-OR,0
57040274-OR,57012512-08,1
53083780-99,47095848-99,0
57030033-99,47035869-OR,1
47069203-02,57050335-TC,0
47027836-OR,47067662-08,1
57097725-52,53071046-99,0
57050486-02,47067818-01,1
43063738-46,57068271-08,0
57032509-99,47046315-OR,1
57169403-95,53060830-OR,0
47075849-32,47037825-CU,1
57010275-OR,53060712-03,0
47035852-OR,47007882-32,1
67040448-OR,53050630-09,0
57093253-01,57000438-OR,1
57004438-05,53103796-OR,0
57050488-88,47066314-OR,1
53090511-CU,53053760-51,0
47024004-85,57050470-88,1
57066309-99,57084007-99,0
57000342-TC,57093253-01,1
57040158-99,57024405-TN,0
57000438-OR,57010770-52,1
53970589-87,57010770-15,0
57041000-PL,57000351-08,1
57029206-99,57072889-OR,0
57010006-99,57030259-06,1
53097657-34,57006017-OR,0
57001089-05,57071176-99,1
53033776-OR,57050554-30,0
57050491-PL,57080977-52,1
53090511-CU,57000263-40,0
57050554-30,47085848-TM,1
53000586-TC,47005921-99,0
47087877-01,57000340-TN,1
57050088-PL,53003781-OR,0
57010046-99,57050184-01,1
57050294-PL,53050600-99,0
57000180-01,57040312-99,1
57030034-08,53015772-99,0
47015882-TM,57010041-99,1
53030587-01,57006707-99,0
57050086-99,57050554-99,1
53080809-OR,57002513-99,0
57000180-01,57040312-99,1
53090511-CU,57040579-32,0
47015882-TM,57010041-99,1
57050245-20,57042511-99,0
57050086-99,57050556-05,1
53073728-99,53053714-06,0
57040376-OR,47085855-99,1
53040712-OR,57084034-99,0
57050437-OR,57020766-99,1
53073754-OR,43047758-05,0
47051027-GM,57050556-99,1
53113736-09,53030570-02,0
47005857-OR,47005752-32,1
57005937-OR,47027884-09,0
57082889-PL,47077845-99,1
57050078-99,53030812-OR,0
57020047-99,57040274-OR,1
57050086-30,57045791-99,0
47037834-OR,57050078-99,1
51061123-01,57005937-OR,0
57051083-99,47035869-OR,1
57004786-99,53073754-OR,0
57056013-92,57051087-TM,1
51065030-05,57096014-92,0
57002532-PL,57014427-30,1
57097745-56,57040156-99,0
57056013-92,57055144-99,1
53060830-OR,53060568-99,0
57035803-94,57022882-01,1
57062887-DI,57057747-PL,0
47016322-99,57010719-02,1
53050682-70,53091158-OR,0
57040161-TC,37010684-99,1
57025806-30,57027691-TO,0
57010046-99,57050184-01,1
57014427-30,47075965-99,0
57050230-01,57040291-TM,1
57094431-DI,53050831-OR,0
57024405-TN,57051173-01,1
53070830-OR,53050624-01,0
57010006-CU,47005921-CU,1
57004791-99,57043797-99,0
47095651-02,47065840-01,1
57023725-09,57086003-OR,0
57021175-85,57051174-85,1
53073709-72,53080545-07,0
47012524-OR,47014026-OR,1
57006707-99,53070688-74,0
47005921-99,57040275-OR,1
53030691-OR,57007703-05,0
57012511-99,57010006-99,1
57086011-99,53043777-CU,0
57031170-PL,57041173-PL,1
53080809-OR,43063737-OR,0
57051178-OR,57041178-OR,1
57057751-35,57000168-99,0
57050336-PL,57010034-08,1
57034381-33,57050307-45,0
57040358-01,57051181-56,1
57050294-PL,57010601-99,0
57051182-08,57091180-01,1
57050164-99,51000640-37,0
57051181-56,57051182-56,1
57071168-OR,57000377-OR,0
47095848-99,57010006-99,1
57072509-99,43015796-OR,0
47065916-99,57022001-05,1
47065840-01,53030570-02,0
47061508-01,57052001-17,1
57096026-99,57016021-PL,0
57032001-17,47005947-80,1
53050579-99,53023716-99,0
57050102-99,57010603-99,1
57001065-01,57084034-99,0
57050081-52,57050078-99,1
53080828-OR,57004786-99,0
57050102-99,57010603-99,1
57065794-99,57050184-01,0
57050081-52,57050078-99,1
57040031-12,57006014-PL,0
47037654-99,47014026-PL,1
53030691-OR,47005921-99,0
57010037-05,57052506-91,1
47084002-01,53090742-99,0
47050031-99,57010241-01,1
51043050-05,53017024-TG,0
47050033-99,47001196-99,1
53050585-02,57095923-CU,0
57002515-50,57002517-50,1
57025939-99,57092523-PL,0
57052512-50,57062511-50,1
57053809-99,57050554-30,0
57002513-99,57041026-99,1
57097758-09,53067658-08,0
57062506-01,57052524-PL,1
53015777-99,57064407-68,0
57000180-01,57040312-99,1
53080828-OR,53080828-OR,0
47015882-TM,57010041-99,1
57045910-94,57037879-OR,0
57050086-99,57052525-PL,1
53013773-99,53043738-92,0
57005802-05,57096026-99,1
57001097-99,53080809-OR,0
57014041-OR,57041501-30,1
57039805-99,57037728-37,0
47014033-CU,57010282-01,1
43060860-03,57025993-05,0
57035148-01,57005825-02,1
57020039-TC,47094042-05,0
57050294-OR,57010007-99,1
57050336-OR,53003766-OR,0
57050302-07,57042881-05,1
57056013-92,67010565-90,0
57020012-01,57040080-08,1
53093032-02,57050451-OR,0
57010603-99,57050294-OR,1
57072889-OR,53030691-OR,0
57010035-CU,57050294-OR,1
53030636-07,53040578-01,0
47005919-CU,57010612-99,1
57096027-02,43065750-99,0
57043797-99,57012509-99,1
53087684-32,47005921-99,0
57004410-99,57006017-OR,1
57040257-02,57096026-99,0
57042883-43,57052883-43,1
53043037-OR,47034043-TM,0
57050294-PL,57043797-99,1
57057737-52,53033776-OR,0
57004410-99,57042883-52,1
47068650-99,47037835-OR,0
57050230-01,57006017-OR,1
47015877-50,47067661-08,0
57022510-99,57042883-69,1
57073799-99,57050454-88,0
57043797-99,47082880-99,1
57085134-99,57010612-99,0
57042883-99,57054419-05,1
53080809-OR,53020608-07,0
47055950-PL,57050100-05,1
57058259-99,57054422-08,0
57050088-02,57052884-68,1
57000340-TN,53017026-05,0
57002533-PL,57030039-PL,1
43063738-46,57024405-TN,0
57010036-PL,57010040-99,1
57096714-OR,47002528-OR,0
57010274-OR,57052886-99,1
57047881-OR,51061037-06,0
57051087-TM,57002521-99,1
53075776-CG,43003756-OR,0
57072509-99,57036032-05,1
57009061-99,53015777-99,0
57010037-99,57010603-99,1
53003742-TO,53060602-TN,0
57050118-OR,57050032-99,1
57006017-OR,53010582-TU,0
57020047-99,57050294-OR,1
57057726-81,53000586-TO,0
57050045-OR,57050032-99,1
47017722-CU,57040258-99,0
57023725-09,57050554-30,1
53080871-99,57094431-DI,0
57010282-01,57044409-TO,1
57054433-65,57050230-01,0
57010040-99,57052894-99,1
53041096-OR,57066031-92,0
57050086-99,57043797-99,1
53023770-04,57005550-05,0
57051087-TM,57050230-99,1
57040251-02,57050088-02,0
57052895-PL,57012899-PL,1
57021035-CU,53010582-01,0
57082889-PL,47032882-PL,1
57082892-99,47026304-06,0
57002533-PL,57022511-PL,1
53050831-OR,53055711-17,0
57050094-80,57040365-99,1
53085759-01,53005787-30,0
57030776-99,57092881-99,1
43073737-OR,57008629-14,0
57029404-02,57052896-88,1
43063738-OR,57045924-99,0
57040376-OR,57052897-PL,1
67030261-99,57064001-TN,0
57062883-99,57012510-OR,1
57039071-TO,53080809-OR,0
57055144-99,57050437-OR,1
53060682-99,57072001-92,0
57023276-02,57053275-02,1
51070902-02,53025775-99,0
57063275-02,57064042-01,1
57010101-01,57083794-05,0
57024048-01,47004036-30,1
51023731-56,53021098-OR,0
57080977-52,57041178-OR,1
53050753-32,57033810-99,0
47056715-PL,57053276-08,1
57010040-99,51013791-02,0
57040076-99,57071176-99,1
57050294-OR,57086003-PL,0
57004053-PL,57053276-99,1
57065149-99,53040578-01,0
47017722-CU,57012512-08,1
57051087-TM,53015714-99,0
57050294-OR,57010007-99,1
53030691-OR,57040377-70,0
57000377-OR,57050294-PL,1
53031097-OR,57084028-OR,0
47085855-99,57040108-99,1
51085014-99,53030594-08,0
57040037-99,57024778-OR,1
37010684-99,51085724-05,0
57042524-PL,57094394-99,1
57096029-99,53003742-TO,0
57042524-OR,57094775-OR,1
53053763-30,53003761-OR,0
57072889-OR,57040085-65,1
51015766-92,53050831-OR,0
57001097-99,57002534-OR,1
57036022-05,57000438-OR,0
47066314-OR,47092530-99,1
57085919-99,51030705-05,0
57050294-PL,57000180-01,1
53020686-TM,57026713-82,0
47087877-01,57043797-99,1
57054410-46,57062888-85,0
57053800-99,47087877-99,1
53070602-TN,57096029-99,0
57020047-99,57040274-OR,1
57064406-99,57000580-30,0
57042511-99,57092512-32,1
51053704-92,53081158-OR,0
57040076-99,57010603-99,1
57002522-99,57027890-05,0
57043797-99,57050294-OR,1
43037019-BL,53050518-99,0
57056013-92,57050294-OR,1
67040262-01,43017044-05,0
57012509-99,57066025-94,1
57010037-05,57065917-99,0
57053802-TN,57065797-99,1
53071096-OR,43003756-OR,0
57040076-99,57052508-99,1
57050230-01,47065143-99,0
47065916-99,57020363-PL,1
57052897-PL,53103796-OR,0
57040076-99,57042524-PL,1
53023028-99,53040614-11,0
57052508-99,47065916-99,1
57057747-PL,57054389-99,0
57020363-PL,57093809-99,1
43073737-OR,53000586-TC,0
57092523-PL,57053803-99,1
57014426-CU,57083795-32,0
57050294-PL,57050230-01,1
51023740-43,57068275-94,0
57053804-TM,57096026-99,1
57089202-99,53090742-99,0
57024775-01,57083795-99,1
57045907-99,57017891-05,0
57053809-08,57014778-99,1
57050294-OR,57055950-37,0
57034407-09,57094024-30,1
57010284-02,53080920-99,0
57097751-99,57073808-TM,1
53013767-99,53055714-99,0
57002513-99,57005802-05,1
57064001-02,57085922-OR,0
57034782-50,57004052-PL,1
57050461-11,57010282-81,0
57014424-99,57053805-TM,1
57030776-99,53023736-05,0
57002512-99,57043797-99,1
53021099-OR,53050961-11,0
57050294-OR,57010601-99,1
57000276-OR,57010006-99,0
47004761-30,57050188-99,1
57037126-05,53005774-99,0
57053806-99,47008649-99,1
57047652-OR,57002518-99,0
47064425-99,57000276-OR,1
57030449-08,57020434-70,0
57041177-TM,57053807-TM,1
57050487-01,53030594-08,0
57010037-99,57023725-09,1
57055943-99,57050035-52,0
57030776-99,57015981-01,1
57044776-99,53073772-80,0
57040279-07,47091248-31,1
53033761-99,53087661-99,0
57014038-OR,57074424-09,1
57005810-95,57093808-99,0
57000033-01,57050336-OR,1
57010037-99,53083715-05,0
57050100-05,57050088-02,1
53083025-02,53063712-07,0
57012002-30,57041501-30,1
57000180-01,57059211-99,0
57053813-CU,57086728-CU,1
57002879-TC,57010006-CU,0
57050294-PL,57022511-PL,1
57077742-76,57002535-OR,0
57072889-PL,57050115-PL,1
53005739-99,57097747-17,0
57040376-OR,57010007-99,1
57050294-PL,53060830-OR,0
57040278-99,57036012-99,1
